AccountID,TransactionAmount,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,DayOfWeek,Hour,Month,DaysSinceLastTransaction,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Cluster,Cluster_PCA
126,-0.9712754695068417,36,365,186,14,1.4237182648914386,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,1,16,4,-573,True,False,False,False,False,False,0,0
450,0.2694396064236744,15,50,82,51,1.3112870641052805,0.30531436617680696,-0.2067936485059295,2.2164715868484435,1,16,6,-496,True,False,False,False,False,False,0,0
18,-0.5868816229808057,23,229,343,8,-1.443277355155591,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,0,18,7,-483,True,False,True,False,False,True,0,0
68,-0.38745590278222686,33,182,300,1,-1.0497681524040379,-1.353017049514218,-0.2067936485059295,0.8857974429054191,4,16,5,-549,True,False,True,False,False,True,0,0
406,-0.9734680903782914,1,298,501,90,-1.0497681524040379,1.1201841135422244,-0.2067936485059295,0.5935893646592064,0,17,10,-385,False,False,True,False,False,True,-1,0
388,-0.7038442425922038,28,562,60,53,-1.49949295554867,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,0,17,4,-581,True,False,False,False,False,True,0,0
197,-0.9952915199894398,39,235,112,18,-0.4313965480801688,0.2767224452166169,-0.2067936485059295,2.103091796208713,2,16,2,-628,False,False,False,False,False,False,-1,0
67,-0.43226759184248137,16,483,571,19,1.2550714637122016,2.449708438191063,-0.2067936485059295,-0.5943498275623533,0,17,5,-546,False,True,False,False,True,False,-1,0
133,-0.6556065834203091,11,670,370,34,0.35562185742293734,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,1,16,3,-594,False,True,False,True,False,False,1,0
380,1.7759071839141245,26,194,393,6,0.5804842589952534,0.005099196094811046,-0.2067936485059295,-1.049294570483005,4,16,3,-584,True,False,False,False,False,False,0,0
148,-0.958633639794889,0,200,337,72,0.41183745781601633,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,1,16,3,-601,False,False,True,True,False,False,1,0
454,-0.3685445477659726,22,572,56,29,-1.330846154369433,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,0,17,2,-637,True,False,True,False,False,True,0,0
387,0.674663351228483,23,31,332,56,-1.162199353190196,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,2,17,6,-516,False,True,False,False,False,True,2,0
260,1.658739006096028,22,53,277,24,-1.0497681524040379,0.04798707753509617,-0.2067936485059295,-1.2626675419268705,0,16,11,-350,True,False,False,False,False,True,0,0
83,-0.4474446394370476,21,299,251,16,-1.49949295554867,0.20524264281614163,-0.2067936485059295,-1.2344020780640845,0,16,2,-630,True,False,True,False,False,True,0,0
266,0.575070400083101,10,451,361,24,-0.4876121484732478,0.13376284041566644,-0.2067936485059295,-0.4227417455289484,1,16,12,-328,True,False,False,True,False,False,0,0
313,0.8846067996697973,2,651,464,47,-1.443277355155591,0.5483456943384226,-0.2067936485059295,-1.021249610057465,0,16,10,-371,False,True,False,False,False,True,2,0
354,0.669216058750975,8,417,49,58,-0.31896534729401077,1.6348386908256458,-0.2067936485059295,-0.0011109695866326143,3,18,12,-326,True,False,True,True,False,False,0,0
238,-0.9555502666944129,0,513,579,53,0.8053466605675694,-0.19504425062651956,-0.2067936485059295,0.7266529330633243,1,16,2,-622,False,True,False,False,True,False,1,0
281,-0.7746590447998077,8,38,70,38,-1.49949295554867,0.7056012596194681,-0.2067936485059295,0.3728782439432717,3,18,6,-515,False,False,True,False,False,True,-1,0
1,-0.8163188413573532,20,150,59,39,1.4799338652845175,-1.1671695632729824,-0.2067936485059295,0.1632204990176552,1,16,2,-615,True,True,False,False,True,False,0,0
13,-0.7257019319044686,19,260,478,64,-0.3751809476870898,-0.38089173686775507,-0.2067936485059295,1.0337731972516602,4,18,8,-451,True,True,False,False,False,False,0,0
93,-0.8407117485522317,1,140,91,21,-0.31896534729401077,0.005099196094811046,-0.2067936485059295,0.9898622453182356,1,18,6,-517,True,False,True,True,False,False,0,0
448,0.16529011502981078,13,158,268,82,-1.274630553976354,0.319610326656902,3.1124756489183207,-0.9517038515474685,1,18,5,-552,True,False,True,False,False,True,-1,0
237,-0.5209316983317309,33,35,63,27,-1.330846154369433,-0.33800385542746997,-0.2067936485059295,-0.8162070533532758,3,16,3,-613,True,False,True,False,False,True,0,0
39,-0.9938868722436672,15,651,543,42,1.1426402629260435,2.2352690309896377,-0.2067936485059295,-0.37937692420172625,4,17,10,-381,False,False,True,False,True,False,-1,0
436,-0.1735725887125261,24,45,467,28,-1.218414953583275,0.5483456943384226,6.431744946342571,-1.138657434417119,0,16,4,-567,True,False,False,False,False,True,-1,-1
55,-0.8814122734785179,25,300,327,7,-0.4313965480801688,-0.35229981590756504,-0.2067936485059295,-0.6224819637654089,2,16,3,-586,True,True,False,True,False,False,0,0
385,-0.5829074976513031,19,226,151,91,-0.03788734532861574,1.1058881530621294,-0.2067936485059295,-0.8569489093746535,1,16,1,-650,True,False,True,False,False,False,0,0
309,-0.82711064720902,11,288,397,42,-0.9935525520109589,2.335340754350303,-0.2067936485059295,-0.9647315022991751,2,16,9,-411,True,True,False,False,False,True,0,0
362,-0.9225581745193173,24,570,404,90,0.8053466605675694,-1.4244968519146932,-0.2067936485059295,0.8256487204129397,0,17,7,-476,False,False,True,False,False,False,1,0
287,-0.8170040353796812,3,274,248,52,-0.8811213512248008,1.963645781867832,-0.2067936485059295,1.2074709339519887,0,16,2,-637,True,False,False,False,False,False,0,0
58,0.33867846237992383,27,601,92,6,0.2431906566367793,0.6913052991393731,3.1124756489183207,1.1732441853031925,0,16,9,-406,True,False,False,True,False,False,-1,0
354,1.9878034353190734,20,109,93,93,-1.274630553976354,0.4339780104976623,-0.2067936485059295,-1.2090005948920401,0,17,3,-602,True,False,True,False,False,True,0,0
360,-0.1450342576825629,37,345,571,1,0.018328255064463266,-0.995618037511842,-0.2067936485059295,2.487475439210654,4,16,10,-374,False,True,False,False,False,False,-1,0
263,-0.5921233572516154,39,41,479,1,0.2431906566367793,-1.0670978399123172,-0.2067936485059295,0.16676650196778517,0,16,10,-385,True,True,False,True,False,False,0,0
399,-0.7518763435574001,25,244,397,27,-1.0497681524040379,0.3624982080971871,-0.2067936485059295,-1.0803881191281433,1,16,11,-349,True,True,False,False,False,True,0,0
200,1.204866485705928,38,433,517,73,1.7047962668568335,0.24813052425642676,-0.2067936485059295,-0.0611366203932074,3,17,3,-613,True,False,False,False,True,False,0,0
473,1.7051609011087532,23,76,450,47,1.1988558633191224,-0.42377961830804023,1.4528410002061958,0.7180661189780133,3,17,10,-389,True,False,False,False,False,False,-1,0
400,0.1303109601899639,28,37,449,39,0.5804842589952534,1.3775114021839352,-0.2067936485059295,-1.0499330048536357,1,17,1,-650,True,False,True,False,True,False,0,0
416,0.10578101419061983,35,540,482,13,1.0302090621398854,-0.009196764385283997,-0.2067936485059295,-0.2027203390527713,0,18,7,-462,True,False,False,False,True,False,0,0
475,-0.9029958851818515,30,607,25,45,-0.3751809476870898,-1.4387928123947882,-0.2067936485059295,2.3332794367393115,0,16,1,-665,True,False,True,False,False,False,-1,0
118,-0.19244968402766394,5,193,488,43,0.6929154597814113,-0.052084645825569126,-0.2067936485059295,2.113427253831254,3,18,4,-564,False,False,True,False,False,False,-1,0
115,-0.8300227218039142,40,192,219,8,-1.443277355155591,-0.03778868534547408,-0.2067936485059295,-1.2493091360192947,2,16,4,-572,True,False,False,False,False,True,0,0
10,0.023009576293391343,21,665,523,4,-0.9935525520109589,-1.2386493656734576,-0.2067936485059295,-1.0885928981884585,2,16,7,-467,True,True,False,False,False,True,0,0
396,0.47167462211379824,6,288,286,50,1.6485806664637546,-0.42377961830804023,-0.2067936485059295,-0.11307799983191522,2,17,10,-397,True,True,False,False,True,False,0,0
278,-0.4560095647161482,3,101,43,69,-1.0497681524040379,-0.6382190255094659,-0.2067936485059295,-0.9243280934140357,2,16,12,-327,True,True,False,False,False,True,0,0
434,0.7285196013834677,28,382,245,89,-1.443277355155591,-0.20934021110661458,-0.2067936485059295,-1.1108765653175832,0,16,10,-392,True,False,True,False,False,True,0,0
292,1.128193274607419,10,276,574,22,-1.0497681524040379,0.2624264847365218,-0.2067936485059295,-1.243227343540836,0,16,11,-343,True,False,True,False,False,True,0,0
466,-0.9441417862226509,34,294,76,54,-0.20653414650785276,0.7913770225000384,-0.2067936485059295,-0.9689877314367137,0,16,3,-588,False,False,True,True,False,False,-1,0
157,0.43765473890521056,18,641,109,39,1.3675026644983594,0.019395156574906088,-0.2067936485059295,-0.30941323475834487,0,16,2,-630,False,False,True,False,True,False,1,0
477,0.43498248221813124,29,580,231,14,0.35562185742293734,2.0637175052284973,-0.2067936485059295,0.017831814068870102,1,17,2,-622,True,False,True,True,False,False,0,0
113,-0.7268667617424263,41,229,278,77,1.2550714637122016,0.3624982080971871,-0.2067936485059295,2.5103026729525246,2,16,6,-516,True,True,False,False,False,False,0,0
53,-0.4388454544568306,36,427,428,35,-0.9373369516178799,0.319610326656902,-0.2067936485059295,-1.0757037030833945,3,16,9,-424,True,True,False,False,False,True,0,0
414,-0.6610881355989335,29,622,245,94,0.9739934617468065,-0.42377961830804023,-0.2067936485059295,-0.1632040719035283,2,17,3,-586,True,False,False,False,True,False,0,0
369,0.06631383850452403,23,12,540,51,-1.105983752797117,-0.5238513416687055,-0.2067936485059295,-0.9718235081994352,4,17,8,-458,True,True,False,False,False,True,0,0
267,-0.8121391578211521,8,447,0,94,0.6929154597814113,-0.9670261165516518,-0.2067936485059295,-0.40495019493534623,3,17,12,-326,False,True,False,False,True,False,1,0
451,-0.017245572518381578,9,301,293,74,1.3112870641052805,-0.8383624722307964,-0.2067936485059295,-0.12202890098802778,4,17,3,-612,False,True,False,False,True,False,1,0
141,0.3046585791713361,16,143,246,63,0.1869750562437003,-1.3101291680739329,-0.2067936485059295,0.13238078572469533,4,16,6,-514,True,True,False,True,False,False,0,0
422,-0.6355989179683301,18,87,290,63,-1.218414953583275,-0.9813220770317469,-0.2067936485059295,-1.0727756225562444,0,16,10,-399,True,True,False,False,False,True,0,0
433,0.9281851394898614,16,227,376,93,0.07454385545754227,0.4625699314578524,-0.2067936485059295,0.09886939125022053,4,18,10,-395,True,False,False,True,False,False,0,0
1,-0.11512553860794346,9,277,511,86,1.9296586684291497,1.5347669674649806,1.4528410002061958,-0.2408315377879352,1,16,5,-538,True,True,False,False,True,False,-1,0
420,0.17830880145404376,19,499,566,96,0.1869750562437003,1.5204710069848855,-0.2067936485059295,0.3941670816113332,1,16,11,-363,True,False,True,True,False,False,0,0
321,1.0408310367605926,30,531,77,0,0.6366998593883324,-0.22363617158670962,-0.2067936485059295,0.8573960873894472,1,17,5,-524,False,True,False,True,False,False,-1,0
429,-0.9997795408356885,5,446,156,70,0.2994062570298583,0.062283038015191215,-0.2067936485059295,2.2752408808614075,3,16,11,-368,True,False,True,False,False,False,0,0
238,-0.3297968258033214,26,96,126,2,-0.15031854611477377,0.9486325877810838,-0.2067936485059295,-0.6484936773800644,2,17,3,-586,False,True,False,True,False,False,1,0
315,0.002830612335830326,16,420,571,4,0.6366998593883324,1.5061750465047905,-0.2067936485059295,-0.5383240065476822,1,16,4,-559,True,True,False,False,True,False,0,0
455,0.765588597991415,0,295,88,62,-1.105983752797117,0.11946687993557138,-0.2067936485059295,-0.8109611227415868,1,18,4,-566,True,True,False,False,False,True,0,0
456,-0.6177496136866844,2,126,440,56,0.8615622609606484,-1.4816806938350733,-0.2067936485059295,-0.3714029045524825,3,16,2,-634,False,False,True,True,False,False,1,0
390,-0.3716279208664489,16,664,78,39,-0.7124745500455638,-0.23793213206680466,-0.2067936485059295,-1.0607992091216405,0,16,11,-357,False,True,False,True,False,False,2,0
215,-0.5620090799702975,1,196,422,90,-0.03788734532861574,1.4346952441043153,-0.2067936485059295,-0.3251202586719357,1,16,7,-475,True,False,False,True,False,False,0,0
51,-0.5289142086918527,9,395,501,65,-0.5438277488663268,0.21953860329623667,-0.2067936485059295,0.3231957427396068,4,17,1,-661,True,False,True,True,False,False,0,0
278,-0.9346861087145238,4,176,566,69,0.9739934617468065,-0.9241382351113667,-0.2067936485059295,0.19273719168713907,1,18,7,-489,True,False,False,False,True,False,0,0
108,-0.2181444598649658,17,286,150,45,-1.0497681524040379,2.292452872910018,-0.2067936485059295,0.3649375562089603,4,16,10,-381,False,False,True,False,False,True,-1,0
261,3.134475631685065,16,225,277,35,-1.387061754762512,-1.367313009994313,-0.2067936485059295,-1.155938750312908,2,16,10,-397,True,True,False,False,False,True,-1,0
235,-0.2243112060659182,29,72,160,65,-0.4313965480801688,-0.9813220770317469,-0.2067936485059295,0.40397435658186615,3,17,12,-312,True,False,False,True,False,False,0,0
6,-0.4623818691237991,18,69,484,59,-1.274630553976354,-0.09497252726585426,-0.2067936485059295,-1.1487031607790925,0,17,6,-511,True,False,True,False,False,True,0,0
21,-0.7059683440614207,25,351,582,94,-0.03788734532861574,-0.7239947883900362,-0.2067936485059295,2.4516256827039893,0,16,3,-602,True,True,False,False,False,False,0,0
459,-0.6074374436506471,24,544,186,44,-1.443277355155591,-0.6096271045492758,-0.2067936485059295,-0.9619880293008822,0,18,12,-322,True,True,False,False,False,True,0,0
13,-0.4225720964265394,39,360,87,31,0.2994062570298583,-0.7525867093502262,-0.2067936485059295,1.3881555528208673,0,18,7,-476,True,False,True,False,False,False,0,0
401,-0.3901624191704226,10,471,556,73,-0.3751809476870898,-0.2522280925468997,-0.2067936485059295,-1.169638167350178,0,18,6,-504,True,False,False,True,False,False,0,0
440,0.16374842847957272,31,95,88,80,0.7491310601744904,-0.5667392231089906,-0.2067936485059295,0.34297438826187915,0,17,10,-378,False,False,True,True,False,False,1,0
232,2.1410813381138585,11,201,328,3,1.0302090621398854,-0.46666749974832533,-0.2067936485059295,-0.10216564368169591,0,16,1,-651,True,False,False,False,True,False,0,0
218,-0.12910349666343562,10,596,406,27,0.2431906566367793,0.7198972200995631,-0.2067936485059295,0.5288382739125815,0,16,11,-364,True,False,True,False,False,False,0,0
138,-0.48951555240798983,36,477,200,29,-0.6000433492594058,0.5340497338583277,-0.2067936485059295,-0.920623122869612,0,16,7,-490,True,False,True,False,False,False,0,0
96,3.571903495539292,2,557,193,11,0.5242686586021743,-1.2815372471137427,-0.2067936485059295,0.9076477951404213,4,17,9,-402,False,False,True,True,False,False,-1,0
299,-0.9354055624379682,23,413,171,32,1.0864246625329645,-0.7239947883900362,-0.2067936485059295,1.219339659661426,4,17,10,-381,True,True,False,False,False,False,0,0
368,0.9266434529396235,42,17,532,53,0.1869750562437003,-0.06638060630566417,-0.2067936485059295,1.3954552421910913,0,17,8,-434,True,False,False,False,False,False,-1,0
433,-0.9866238156069899,36,438,89,42,0.7491310601744904,0.8485608644204186,-0.2067936485059295,1.99212215941795,3,18,6,-501,False,False,True,False,False,False,-1,0
432,0.3267218266902993,18,139,246,21,-1.162199353190196,-0.2808200135070898,-0.2067936485059295,-1.1083253918285165,0,16,11,-350,True,False,True,False,False,True,0,0
104,1.4366333637583906,25,311,12,51,0.8615622609606484,-1.2243534051933627,-0.2067936485059295,-0.2692918651534036,3,16,9,-417,False,False,True,False,True,False,-1,0
306,-0.2526439788891831,18,465,90,8,0.4680530582090954,-0.9241382351113667,4.772110297630446,-0.5600769270313429,0,16,10,-399,True,False,False,True,False,False,-1,0
147,-0.229313122428913,15,509,487,48,-1.330846154369433,0.21953860329623667,-0.2067936485059295,-1.1528363182307262,0,18,3,-588,True,True,False,False,False,True,0,0
368,0.49514251737853404,20,625,205,46,-1.443277355155591,2.006533663308117,-0.2067936485059295,-0.9585497140759189,3,16,12,-319,True,False,True,False,False,True,0,0
420,1.1873597784354462,35,174,196,92,-0.8811213512248008,-0.681106906949751,-0.2067936485059295,-1.0181061540799818,3,16,3,-613,True,False,False,True,False,False,0,0
9,0.723175088009309,23,602,272,47,0.35562185742293734,0.10517091945547634,-0.2067936485059295,0.6651273460847859,0,16,6,-497,False,True,False,True,False,False,1,0
343,1.9220933285778141,37,18,225,1,-0.9935525520109589,0.9343366273009888,-0.2067936485059295,-0.8310782154000972,1,17,4,-566,False,True,False,False,False,True,-1,0
10,-0.932664786348656,21,187,490,6,0.6929154597814113,-0.5953311440691808,-0.2067936485059295,-1.2597574093539148,0,17,7,-476,True,False,False,True,False,False,0,0
448,-0.5138056804995192,5,91,144,27,1.4799338652845175,0.19094668233604659,-0.2067936485059295,-0.7688141983061302,4,17,9,-430,True,True,False,False,True,False,0,0
176,-0.6254923061389914,35,511,94,3,-0.4313965480801688,0.7913770225000384,-0.2067936485059295,0.6485254884549293,0,16,9,-420,True,True,False,False,False,False,0,0
261,0.2938667733196694,13,310,232,65,-0.8249057508317219,-1.367313009994313,-0.2067936485059295,0.9711450930868917,1,17,1,-650,True,True,False,True,False,False,0,0
17,-0.6819522935788226,12,511,398,94,-1.387061754762512,0.677009338659278,-0.2067936485059295,1.0946013780100716,4,16,8,-451,False,False,True,False,False,True,-1,0
73,-0.7343696362869184,13,589,327,8,0.5804842589952534,0.6341214572189929,-0.2067936485059295,-1.008416822808441,0,18,10,-385,False,True,False,False,False,False,1,0
459,-0.34750909128050156,41,160,315,98,-0.9935525520109589,0.37679416857728215,-0.2067936485059295,1.1036856068259144,4,16,2,-619,True,True,False,True,False,False,0,0
168,-0.5743768320733188,19,627,36,44,-0.7124745500455638,1.649134651305741,-0.2067936485059295,0.7283323487772326,0,16,1,-672,True,False,False,True,False,False,0,0
231,0.0318828388825395,7,77,584,46,0.07454385545754227,-0.9813220770317469,-0.2067936485059295,1.1034856153363193,3,16,11,-340,True,False,True,True,False,False,0,0
12,-0.6256293449434569,39,178,51,31,0.8053466605675694,-0.5667392231089906,-0.2067936485059295,0.2641879973352026,2,16,11,-369,True,False,True,False,True,False,0,0
